Year,CIPCODE,CIP Family,CIP Family Name,Tier,Institutions Offering,Total Completions,Male,Female,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Native Hawaiian/Pacific Islander,White,Two or More Races,Race/Ethnicity Unknown,Nonresident Alien
2021,11.0101,11,Computer & Information Sciences,2,3,116,96,20,0,8,6,7,0,64,4,1,26
2021,11.0101,11,Computer & Information Sciences,3,4,108,79,29,0,2,0,3,0,38,3,2,60
2021,11.0101,11,Computer & Information Sciences,4,8,328,274,54,0,18,19,12,0,196,12,7,64
2021,11.0101,11,Computer & Information Sciences,5,15,376,275,101,0,27,21,9,0,192,7,2,118
2021,11.0102,11,Computer & Information Sciences,5,4,20,12,8,0,0,1,0,0,8,0,0,11
2021,11.0103,11,Computer & Information Sciences,1,5,79,57,22,2,7,9,11,0,33,9,0,8
2021,11.0103,11,Computer & Information Sciences,2,3,83,50,33,0,5,3,3,0,18,4,0,50
2021,11.0103,11,Computer & Information Sciences,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0103,11,Computer & Information Sciences,4,3,156,131,25,0,4,4,3,1,123,12,0,9
2021,11.0103,11,Computer & Information Sciences,5,11,176,125,51,0,15,19,10,0,90,5,8,29
2021,11.0104,11,Computer & Information Sciences,1,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,11.0104,11,Computer & Information Sciences,3,1,5,5,0,0,1,1,0,0,3,0,0,0
2021,11.0104,11,Computer & Information Sciences,5,1,18,11,7,0,3,1,1,0,13,0,0,0
2021,11.0105,11,Computer & Information Sciences,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0199,11,Computer & Information Sciences,2,1,1,1,0,0,0,0,0,0,1,0,0,0
2021,11.0199,11,Computer & Information Sciences,4,1,42,26,16,0,2,0,4,0,33,1,1,1
2021,11.0199,11,Computer & Information Sciences,5,1,13,13,0,0,1,1,0,0,5,0,0,6
2021,11.0201,11,Computer & Information Sciences,1,2,31,25,6,0,2,2,1,0,24,0,2,0
2021,11.0201,11,Computer & Information Sciences,3,1,6,6,0,0,1,1,1,0,1,0,0,2
2021,11.0201,11,Computer & Information Sciences,4,7,116,104,12,2,9,2,6,0,92,3,0,2
2021,11.0201,11,Computer & Information Sciences,5,9,305,246,59,0,15,18,13,2,131,7,17,102
2021,11.0202,11,Computer & Information Sciences,1,2,78,61,17,0,3,6,5,0,54,8,1,1
2021,11.0202,11,Computer & Information Sciences,3,1,9,9,0,0,0,0,0,0,9,0,0,0
2021,11.0202,11,Computer & Information Sciences,5,4,75,55,20,0,10,16,3,0,34,0,6,6
2021,11.0299,11,Computer & Information Sciences,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0301,11,Computer & Information Sciences,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0301,11,Computer & Information Sciences,5,2,1,0,1,0,0,0,1,0,0,0,0,0
2021,11.0401,11,Computer & Information Sciences,1,3,9,6,3,0,1,1,1,0,6,0,0,0
2021,11.0401,11,Computer & Information Sciences,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0401,11,Computer & Information Sciences,3,2,10,8,2,0,0,0,0,0,10,0,0,0
2021,11.0401,11,Computer & Information Sciences,4,1,10,9,1,0,0,5,1,0,2,0,1,1
2021,11.0401,11,Computer & Information Sciences,5,6,129,94,35,0,6,9,8,0,86,1,1,18
2021,11.0501,11,Computer & Information Sciences,2,1,38,22,16,0,1,1,0,0,2,0,0,34
2021,11.0501,11,Computer & Information Sciences,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,11.0501,11,Computer & Information Sciences,4,2,30,23,7,0,2,0,0,0,24,2,0,2
2021,11.0501,11,Computer & Information Sciences,5,2,9,8,1,0,1,0,2,0,3,0,0,3
2021,11.0601,11,Computer & Information Sciences,5,1,6,1,5,0,0,3,0,0,2,0,1,0
2021,11.0701,11,Computer & Information Sciences,1,4,223,146,77,0,18,5,4,0,56,1,3,136
2021,11.0701,11,Computer & Information Sciences,2,4,400,223,177,0,3,4,2,1,69,3,0,318
