UNITID,Institution Name,City,State,ZIP,County,Latitude,Longitude,Distance from KC (mi),Tier,Tier Label,Sector,Control,Level,Institution Category,Institution Size,Degree-Granting,Locale,HBCU,Status,CBSA,Website,Address
155317,University of Kansas,Lawrence,KS,66045,Douglas County,38.958549,-95.247567,37.2,2,KC Fringe (30-60 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","20,000 and above",Degree-granting,City: Small,No,Active,29940,https://ku.edu/,"Strong Hall, 1450 Jayhawk Blvd, Room 230"
177931,Lex La-Ray Technical Center,Lexington,MO,64067-1525,Lafayette County,39.173683,-93.865563,38.6,2,KC Fringe (30-60 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Rural: Distant,No,Active,28140,www.lexlaray.com/,2323 High School Dr
154688,Baker University,Baldwin City,KS,66006-0065,Douglas County,38.778712,-95.187346,39.5,2,KC Fringe (30-60 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Rural: Distant,No,Active,29940,https://www.bakeru.edu/,615 Dearborn Street
154712,Benedictine College,Atchison,KS,66002-1499,Atchison County,39.573079,-95.113858,43.5,2,KC Fringe (30-60 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Town: Distant,No,Active,11860,www.benedictine.edu/,1020 N 2nd St
178387,Missouri Western State University,Saint Joseph,MO,64507,Buchanan County,39.7575,-94.785643,46.8,2,KC Fringe (30-60 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,City: Small,No,Active,41140,https://www.missouriwestern.edu/,4525 Downs Dr
155627,Ottawa University-Ottawa,Ottawa,KS,66067-3399,Franklin County,38.603173,-95.264187,50.4,2,KC Fringe (30-60 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,Town: Distant,No,Active,36840,www.ottawa.edu/,1001 South Cedar
176965,University of Central Missouri,Warrensburg,MO,64093,Johnson County,38.759111,-93.737428,51.0,2,KC Fringe (30-60 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","10,000 - 19,999",Degree-granting,Town: Distant,No,Active,47660,https://www.ucmo.edu/,108 W South Street
417655,Warrensburg Area Career Center,Warrensburg,MO,64093,Johnson County,38.761649,-93.70714,52.3,2,KC Fringe (30-60 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Town: Distant,No,Active,47660,https://wacc.warrensburgr6.org/,205 S. Ridgeview Dr
493831,Midwest Barber College,Topeka,KS,66611-2358,Shawnee County,39.000284,-95.689254,60.0,2,KC Fringe (30-60 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Midsize,No,Merged,45820,www.midwestbarbercollege.com/,901 SW. 37th Street
156082,Washburn University,Topeka,KS,66621,Shawnee County,39.033778,-95.702222,60.5,3,Regional (60-100 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Degree-granting,City: Midsize,No,Active,45820,www.washburn.edu/,1700 SW College Avenue
480657,Rasmussen University-Kansas,Topeka,KS,66609,Shawnee County,38.998726,-95.704151,60.8,3,Regional (60-100 mi),"Private for-profit, 4-year or above",Private for-profit,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,45820,https://rasmussen.edu/,3722 SW Burlingame Road
155423,Washburn Institute of Technology,Topeka,KS,66604,Shawnee County,39.04497,-95.751158,63.0,3,Regional (60-100 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","1,000 - 4,999",Nondegree-granting,City: Midsize,No,Active,45820,www.washburntech.edu/,5724 SW Huntoon
155186,Highland Community College,Highland,KS,66035-4165,Doniphan County,39.859987,-95.271539,64.2,3,Regional (60-100 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Rural: Distant,No,Active,41140,www.highlandcc.edu/,606 W Main
260336,Clinton Technical School,Clinton,MO,64735,Henry County,38.363669,-93.768459,67.0,3,Regional (60-100 mi),"Public, less-than 2-year",Public,Less-than-two-year,Not reported,Not reported,Nondegree-granting,Town: Remote,No,Active,-2,clintoncardinals.org/,602 S. Fifth St.
176983,Grand River Technical School,Chillicothe,MO,64601,Livingston County,39.798864,-93.559669,72.7,3,Regional (60-100 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Town: Remote,No,Active,-2,www.grts.org/,1200 Fair St
417646,Saline County Career Center,Marshall,MO,65340-1698,Saline County,39.094261,-93.213659,73.2,3,Regional (60-100 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Town: Remote,No,Active,32180,https://www.marshallschools.com/o/career-center,"SCCC Adult Education Center, 2285 S Hwy 65"
178369,Missouri Valley College,Marshall,MO,65340,Saline County,39.108522,-93.190654,74.4,3,Regional (60-100 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,32180,https://www.moval.edu/,500 E College St
179539,State Fair Community College,Sedalia,MO,65301-2199,Pettis County,38.696423,-93.268028,75.8,3,Regional (60-100 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,42740,https://www.sfccmo.edu/,3201 W 16th Street
480879,Academy of Salon Professionals,Sedalia,MO,65301,Pettis County,38.690729,-93.251559,76.8,3,Regional (60-100 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Town: Remote,No,Active,42740,academyofsalonprofessionals.com/,2414 S. Limit Ave
177083,Conception Seminary College,Conception,MO,64433-0502,Nodaway County,40.24044,-94.682831,79.0,3,Regional (60-100 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,Rural: Remote,No,Active,32340,www.conception.edu/,37174 State Hwy V V
